iter	Passed	Remaining
890	1045	127
891	1046	126
892	1048	125
893	1049	124
894	1051	123
895	1052	122
896	1054	121
897	1055	119
898	1057	118
899	1058	117
900	1060	116
901	1061	115
902	1063	114
903	1064	113
904	1065	111
905	1066	110
906	1067	109
907	1068	108
908	1069	107
909	1070	105
910	1071	104
911	1072	103
912	1073	102
913	1075	101
914	1076	99
915	1077	98
916	1078	97
917	1078	96
918	1080	95
919	1081	94
920	1082	92
921	1083	91
922	1084	90
923	1085	89
924	1086	88
925	1088	86
926	1089	85
927	1091	84
928	1092	83
929	1093	82
930	1094	81
931	1095	79
932	1096	78
933	1097	77
934	1097	76
935	1098	75
936	1099	73
937	1100	72
938	1101	71
939	1103	70
940	1104	69
941	1105	68
942	1106	66
943	1107	65
944	1108	64
945	1109	63
946	1110	62
947	1111	60
948	1112	59
949	1113	58
950	1114	57
951	1115	56
952	1116	55
953	1117	53
954	1118	52
955	1119	51
956	1121	50
957	1122	49
958	1123	48
959	1124	46
960	1125	45
961	1126	44
962	1127	43
963	1128	42
964	1129	40
965	1130	39
966	1130	38
967	1131	37
968	1132	36
969	1134	35
970	1135	33
971	1136	32
972	1137	31
973	1138	30
974	1139	29
975	1140	28
976	1141	26
977	1142	25
978	1143	24
979	1144	23
980	1145	22
981	1146	21
982	1147	19
983	1148	18
984	1150	17
985	1151	16
986	1152	15
987	1153	14
988	1154	12
989	1155	11
990	1156	10
991	1157	9
992	1158	8
993	1159	6
994	1160	5
995	1161	4
996	1161	3
997	1162	2
998	1163	1
999	1165	0
